protein,mean_orig,mean_ko,diff
TACC1,0.053665876,0.34235147,0.2886856
UBE2G1,-0.044144593,0.2448761,0.2890207
NPLOC4,0.05073697,0.33991027,0.2891733
PREPL,-0.090674534,0.19893566,0.2896102
ACTN2,0.060111888,0.3498987,0.28978682
RAB3GAP2,-0.030014776,0.26004463,0.29005942
TDRKH,0.027899178,0.31810895,0.29020977
ISCA2,0.06374045,0.3541324,0.29039198
KIAA0319L,0.07158264,0.36233035,0.2907477
HSP90AB3P,-0.06255121,0.22865784,0.29120904
NDE1,-0.042150784,0.25017852,0.2923293
TDRD7,0.003824268,0.2962419,0.29241765
EIF3L,-0.006541784,0.2860126,0.29255438
CD2AP,0.036597878,0.32965046,0.29305258
HSPA9,0.019188039,0.3128015,0.29361346
ADAM10,0.00182785,0.29553556,0.29370773
GRAMD1A,0.02299857,0.31703344,0.29403487
MYDGF,0.01472219,0.30876508,0.2940429
ARF5,-0.047660492,0.24663654,0.29429704
TBC1D23,0.02543581,0.32004938,0.29461357
MAP7D1,0.07314113,0.36789766,0.29475653
KARS1,-0.05315414,0.24181394,0.29496807
IGHD,-0.004425277,0.29060927,0.29503456
PTPN7,-0.20404325,0.091284,0.29532725
TRDN,0.064367466,0.35974485,0.29537737
MOV10,0.08032851,0.3759256,0.29559708
ETFA,0.050258268,0.34588993,0.29563165
BLM,-0.09406343,0.20158198,0.29564542
KPNA7,-0.059211586,0.23649815,0.29570973
FBXO28,0.07598629,0.37186092,0.29587463
UBA5,-0.101121485,0.19526272,0.29638422
ADRM1,-0.018087005,0.27909464,0.29718164
LRCH3,-0.110132225,0.1871463,0.29727852
SLC5A6,0.05825034,0.35594168,0.29769135
EVA1A,-0.08579653,0.2119081,0.29770464
THOP1,-0.12763523,0.17037319,0.2980084
SFT2D2,0.041238666,0.3398857,0.29864705
MMS19,0.03276608,0.33142024,0.29865417
SOGA1,-0.07445301,0.22457391,0.2990269
CAD,-0.13913646,0.159916,0.29905248
PARK7,-0.058776196,0.2406701,0.29944628
POLR1H,-0.02004315,0.27940574,0.2994489
SUCLG1,0.07730176,0.3767817,0.29947993
ACYP2,-0.10029906,0.20012327,0.3004223
ZC3H11B,-0.052981276,0.24747726,0.30045855
YIPF6,0.14009865,0.44060427,0.30050564
NUP50,-0.08667377,0.21442235,0.3010961
AP3S1,-0.024652535,0.27671623,0.30136877
SBDS,0.003174523,0.30525047,0.30207595
MED4,-0.04094846,0.26137203,0.30232048
MSRB3,0.051218938,0.3537011,0.3024822
GART,-0.1312951,0.17158054,0.30287564
NDUFAB1,-0.004575455,0.29898694,0.3035624
PTRHD1,-0.07221116,0.23148818,0.30369934
ADD3,-0.13391112,0.16981643,0.30372757
CTSG,-0.065784246,0.23848419,0.30426842
HCLS1,-0.1470019,0.1575895,0.30459142
CDCA3,-0.039132565,0.26590118,0.30503374
KRT74,0.12314021,0.42836484,0.30522463
SCFD1,0.07517751,0.38043374,0.30525622
TUBB6,0.10927379,0.4151288,0.305855
CTSZ,0.001416715,0.30729753,0.3058808
IRF4,-0.112749375,0.19328709,0.30603647
FKBP1A,-0.02194577,0.28411797,0.30606374
TPMT,0.033496402,0.33968297,0.30618656
KCTD12,-0.010665542,0.29618412,0.30684966
FAM136A,-0.02988098,0.27720866,0.30708963
EIF2AK3,-0.09385295,0.21362384,0.3074768
GSN,0.018352557,0.32601273,0.30766016
FLYWCH2,-0.052054297,0.25598705,0.30804133
TJP2,0.08727907,0.395519,0.30823994
HSPA1L,-0.000196831,0.3087211,0.30891794
LSP1,-0.08307832,0.22594303,0.30902135
RPLP1,0.03735223,0.34650573,0.3091535
KIAA0754,-0.07824961,0.23100686,0.30925646
DLGAP5,0.061387002,0.37108764,0.30970064
THUMPD1,-0.071504734,0.23831385,0.3098186
FKBP14,0.06567395,0.37601382,0.31033987
SUCLG2,0.10034927,0.4110385,0.3106892
CGREF1,0.071072415,0.38191062,0.31083822
C8orf88,0.021345574,0.3321965,0.31085092
PEX19,-0.043453157,0.26776516,0.31121832
AP3B1,-0.03474794,0.27659377,0.3113417
SAMD9,-0.019028,0.29233092,0.31135893
NEK9,-0.09857857,0.21296892,0.3115475
KBTBD2,0.015361663,0.32704395,0.31168228
IQGAP1,0.03070776,0.3424368,0.31172904
WDR46,-0.035386465,0.27643314,0.3118196
ANP32A,-0.08859198,0.22367662,0.3122686
CARS1,-0.0502053,0.2622111,0.3124164
LRRC7,0.059555545,0.37231904,0.3127635
MIX23,-0.07111352,0.24195589,0.3130694
MYOZ2,0.027417794,0.340673,0.3132552
BORCS7,-0.07041981,0.24297036,0.31339017
SRA1,0.005936045,0.3196117,0.31367564
SNAPC4,0.091309816,0.40499425,0.31368443
SLC12A9,0.011626055,0.32547882,0.31385276
HTATSF1,-0.079517394,0.23446834,0.31398574
SRGAP1,-0.045643363,0.26860243,0.3142458
CCSER2,-0.02352576,0.29099506,0.31452084
WAC,-0.11728344,0.19826488,0.31554833
NRBP1,0.010247766,0.32592535,0.31567758
UIMC1,-0.06678142,0.24909613,0.31587756
VRK3,-0.14967641,0.16654918,0.3162256
SNX2,-0.05430178,0.26195538,0.31625715
GET1,-0.08405108,0.23246488,0.31651595
LYN,-0.092079975,0.22444093,0.3165209
RAC2,-0.10027454,0.21640217,0.3166767
GNPAT,0.005811899,0.3227235,0.3169116
CCNK,0.018942872,0.33591515,0.3169723
SCRN1,0.09165617,0.4087575,0.31710133
TLK1,-0.06947108,0.24769796,0.31716904
RWDD1,-0.061757542,0.25543842,0.31719595
ACTR10,-0.09382587,0.22351997,0.31734583
TOM1L1,0.059665255,0.37737787,0.3177126
SYNE1,-0.05166707,0.26611903,0.3177861
FAS,-0.030035025,0.28775612,0.31779113
ALG13,0.036495805,0.35446295,0.31796715
EMC10,0.017797075,0.33589572,0.31809863
SSU72,-0.050102063,0.2683696,0.31847164
MRPL32,0.02966035,0.34834263,0.31868228
PPIA,-0.03810092,0.28063202,0.31873295
TDP2,-0.14901866,0.16988494,0.3189036
RARS1,0.04421732,0.36319,0.31897268
UBE2B,0.024888534,0.34396425,0.3190757
TJP1,0.13132173,0.45046845,0.31914672
SEC62,0.09316185,0.41255328,0.31939143
NDRG2,-0.065487385,0.25399396,0.31948134
CMTM6,-0.030778358,0.28891838,0.31969672
PSMC5,-0.002516819,0.31757316,0.32008997
VPS16,0.0668795,0.38742292,0.3205434
LOX,0.037372276,0.35796374,0.32059145
MAN1A1,-0.01539548,0.30543065,0.32082614
PTPN6,-0.13633673,0.18449247,0.3208292
CISD3,0.0491266,0.37001118,0.3208846
HDAC7,0.014640765,0.33557096,0.32093018
DNAJB2,-0.017318489,0.30386904,0.32118753
FAM102B,0.052752335,0.37411532,0.32136297
