,protein,mean_orig,mean_ko,diff,p_value
1623,GNB3,0.056187168,-0.14161974,-0.19780691,0.0353974819229125
1624,GPC1,0.0001985121,-0.19758062,-0.19777913,0.022329548228878993
1625,DSTN,0.11950758,-0.07789242,-0.1974,0.02734263828382166
1626,SAP18,-0.059120413,-0.25651947,-0.19739905,0.03395497128863939
1627,MRPS6,-0.034261446,-0.23164265,-0.1973812,0.02477268894270387
1628,GOLGA2,0.10832623,-0.08902904,-0.19735527,0.033557122014137825
1629,RAB24,0.08077441,-0.1165744,-0.1973488,0.016843460243738503
1630,ANKRD52,-0.028532889,-0.22580646,-0.19727357,0.03848753726175744
1631,PGLS,0.009700523,-0.1875397,-0.19724022,0.03239790521936458
1632,F8A1;F8A2;F8A3,0.0054935827,-0.19173789,-0.19723147,0.021917690516731064
1633,BOD1L1,-0.03266271,-0.22987296,-0.19721025,0.017261597145980207
1634,MND1,0.0019019382,-0.19519717,-0.1970991,0.02979682672466253
1635,DBR1,0.050972123,-0.14573643,-0.19670855,0.014082023650185956
1636,ELP3,0.057808723,-0.1388882,-0.19669692,0.029593057643152836
1637,DHCR7,0.0015716832,-0.19507341,-0.1966451,0.019115773279114907
1638,C9orf78,-0.07973846,-0.27629137,-0.1965529,0.030568697998014427
1639,DHRS7B,0.07931953,-0.11701453,-0.19633406,0.027202007351239982
1640,HNF1A,-0.026139846,-0.22244085,-0.19630101,0.02058387315219659
1641,RANBP2,-0.02518275,-0.22146888,-0.19628613,0.01743653931675047
1642,ECI1,0.0915129,-0.1042667,-0.1957796,0.04378488931098514
1643,RTN4,0.14950572,-0.046268202,-0.19577393,0.022896643605852092
1644,MRPL22,0.11138455,-0.084137216,-0.19552177,0.03398205747611708
1645,ITIH3,0.037977826,-0.15751313,-0.19549096,0.024475070012504926
1646,CCAR1,-0.018842237,-0.21417311,-0.19533087,0.039946957136769816
1647,TM9SF2,0.115586646,-0.079526596,-0.19511324,0.05210004235147236
1648,IRF9,0.04298916,-0.15204237,-0.19503154,0.036722075215560666
1649,GNA11,0.035305474,-0.15933155,-0.19463702,0.0309866216265946
1650,UBE2I,-0.055665657,-0.2501661,-0.19450043,0.02877669176339132
1651,CNNM3,-0.02110962,-0.21555379,-0.19444416,0.023639010857870534
1652,FILIP1,0.02653989,-0.16783322,-0.19437312,0.026285617048313437
1653,TMEM65,0.009444624,-0.18486825,-0.19431287,0.025578446298606946
1654,PGM5,0.039236072,-0.15491925,-0.19415532,0.025482289201432248
1655,NAE1,-0.015211591,-0.20932434,-0.19411275,0.031279897057221555
1656,FABP5,-0.055952705,-0.24990225,-0.19394955,0.03262266552029908
1657,RPGRIP1L,0.077411495,-0.11653576,-0.19394726,0.02722762958146267
1658,NAALAD2,0.03665256,-0.15718535,-0.19383791,0.04715613075905599
1659,KRT33B,0.0038429461,-0.1899722,-0.19381516,0.02461011244818024
1660,ERAL1,0.10740629,-0.08629076,-0.19369705,0.021499115402253872
1661,CDK2,0.0024965778,-0.19113076,-0.19362733,0.029559134099453807
1662,GNB4,0.030874427,-0.16250913,-0.19338356,0.042955950176902305
1663,ECSIT,-0.0010283554,-0.19423243,-0.19320408,0.03465370970477842
1664,CHPT1,0.018840011,-0.17420863,-0.19304864,0.03195898151210059
1665,DRAP1,-0.046539117,-0.23937096,-0.19283184,0.05458567418836856
1666,HMGB2,-0.09458688,-0.28741533,-0.19282845,0.02436814715303816
1667,IPO8,-0.014171495,-0.20697233,-0.19280083,0.0256452933402182
1668,NISCH,-0.09418716,-0.2868694,-0.19268224,0.011595526729316932
1669,AHNAK2,0.024552502,-0.16811328,-0.19266579,0.025281947137484346
1670,BRD8,-0.023726873,-0.21637346,-0.1926466,0.033397007426746686
1671,CCDC115,0.027897328,-0.16469274,-0.19259007,0.019776357348378366
1672,CAPNS2,-0.015947325,-0.20837079,-0.19242346,0.02455770571933055
1673,CAMSAP2,0.08261317,-0.1097375,-0.19235067,0.034791433281557246
1674,SLC35B2,0.07434643,-0.11785813,-0.19220456,0.02083664409357901
1675,GATC,0.06230966,-0.12989105,-0.19220072,0.033991808279072284
1676,CAND2,0.06932793,-0.12263898,-0.1919669,0.03877966148688032
1677,GCC2,0.16493735,-0.0269299,-0.19186725,0.03864081770163915
1678,H1-5,-0.060124747,-0.2517045,-0.19157976,0.04239560324222693
1679,GPX1,0.032469112,-0.15907517,-0.19154428,0.03432985306039804
1680,TUBA4B,-0.05396618,-0.24538046,-0.19141428,0.0472957633037643
1681,ZNF768,-0.072980784,-0.26436394,-0.19138315,0.03667836371782087
1682,FAM210A,0.012316915,-0.17884311,-0.19116002,0.03606483639644385
1683,NOP58,-0.0889664,-0.27992603,-0.19095963,0.05367697521199061
1684,LZTS1,0.01398452,-0.17694043,-0.19092494,0.038477732026245305
1685,RAD23B,0.05630871,-0.13456836,-0.19087708,0.04764086111997268
1686,FNTA,0.04884722,-0.14168887,-0.19053608,0.04420900050344193
1687,PRKRIP1,0.069335565,-0.12119814,-0.1905337,0.02667553622306115
1688,ABCC1,0.05647602,-0.13398936,-0.19046539,0.024406314552756832
1689,EXOSC9,-0.028420454,-0.2186782,-0.19025776,0.05308204254363214
1690,MOB2,-0.032435782,-0.22251755,-0.19008178,0.017237824962871448
1691,NBR1,-0.0017767892,-0.19169289,-0.1899161,0.033719729291321304
1692,ERGIC1,0.0888465,-0.10091618,-0.18976268,0.03439440624461345
1693,RAB11B,-0.037843168,-0.2273459,-0.18950273,0.037686481495006974
1694,PRC1,0.0687672,-0.120525956,-0.18929315,0.03600439662157875
1695,CD44,0.08449114,-0.10468839,-0.18917954,0.03913655158441388
1696,RNASEL,-0.022270318,-0.21140923,-0.1891389,0.032149022626623946
1697,BROX,0.016856076,-0.17226905,-0.18912512,0.022139938366113606
1698,SRMS,-0.0494674,-0.23852825,-0.18906085,0.01912933119818949
1699,SEH1L,0.03314068,-0.15590723,-0.1890479,0.021685357075930486
1700,MPST,-0.02028418,-0.2093216,-0.18903743,0.034405867968174464
1701,SCCPDH,0.023185654,-0.16584325,-0.1890289,0.027503956325148165
1702,DNAJC5,0.08760085,-0.10116053,-0.18876138,0.03677949775554975
1703,SDCBP,0.09324271,-0.09548765,-0.18873036,0.0343031148039833
1704,DYNLL2,-0.050840516,-0.23955755,-0.18871704,0.02425345688252948
1705,RBM15,-0.12707694,-0.31566298,-0.18858604,0.028596454236065414
1706,NFYB,-0.020698104,-0.20904884,-0.18835074,0.03816549711417386
1707,RAB32,0.10547239,-0.08286747,-0.18833986,0.036243131914010566
1708,PUS1,-0.08513601,-0.27323806,-0.18810205,0.033977423552417986
1709,MYO1F,0.008607512,-0.17940493,-0.18801244,0.03413715268965117
1710,ATP7A,0.11288004,-0.0750252,-0.18790525,0.0350173145502285
1711,PCMT1,0.0054572374,-0.18244636,-0.1879036,0.030353317347679074
1712,SMC6,-0.07243735,-0.26033548,-0.18789813,0.036598126938416554
1713,MRPL50,0.04591026,-0.14192845,-0.1878387,0.03175178925224104
1714,MBLAC2,-0.078342095,-0.26612866,-0.18778656,0.04315937484401803
1715,HSPA12A,-0.0019345457,-0.18967646,-0.18774192,0.03995530898470843
1716,ARHGEF2,-0.057567596,-0.24527204,-0.18770444,0.05343041688807003
1717,LRPAP1,0.1050943,-0.08252713,-0.18762143,0.020949014488450574
1718,SMC5,-0.0084184455,-0.19602284,-0.1876044,0.039496377660284195
1719,CNST,0.008076809,-0.17947803,-0.18755484,0.037450303658095825
1720,MIS12,-0.11878967,-0.30623856,-0.18744889,0.0123218326569097
1721,ACSS3,0.06334917,-0.12378782,-0.187137,0.04122838540963326
1722,CYRIA,0.017664518,-0.16944486,-0.18710938,0.03586997023839931
1723,RNF170,0.02708581,-0.15996382,-0.18704963,0.03011675476710658
1724,PRRC2B,0.009333785,-0.1777038,-0.18703759,0.04828791430232924
1725,ALDH1L1,-0.06510457,-0.25211322,-0.18700865,0.021954786951883416
1726,CDK9,-0.0031315722,-0.18983158,-0.18670002,0.03769218534585224
1727,GAP43,-0.0016534952,-0.18820655,-0.18655306,0.030177200505372474
1728,FGFR1OP2,0.047857247,-0.13861756,-0.1864748,0.04500696879982329
1729,GNAO1,-0.060557127,-0.24691272,-0.18635559,0.02074077550842087
1730,URB1,0.015507014,-0.17060487,-0.18611188,0.0343913430457749
1731,PELO,0.0670996,-0.118922465,-0.18602207,0.03616320858595834
1732,PSMD5,-0.00094724435,-0.18688643,-0.1859392,0.06117328973764515
1733,MED11,-0.04857603,-0.2345147,-0.18593867,0.032423076920859446
1734,VAPB,0.14276391,-0.042776197,-0.18554011,0.030383760579493442
1735,NIT1,0.07810507,-0.107419886,-0.18552496,0.043899953696768086
1736,TIMM23,-0.0060505816,-0.19148809,-0.1854375,0.027102635001659
1737,GVINP1,-0.089474335,-0.27460498,-0.18513064,0.03754292655451071
1738,RPL27,0.09558462,-0.08932922,-0.18491384,0.05967501526170845
1739,LRRC34,0.06454667,-0.1203503,-0.18489698,0.03519408517773406
1740,WRN,-0.07310904,-0.2578242,-0.18471518,0.014037498743923625
1741,ATP2C1,0.03582631,-0.14887857,-0.18470488,0.03623516510132397
1742,PKHD1,-0.12288842,-0.30740684,-0.18451843,0.02288763034155214
1743,TAF13,0.03916795,-0.14530504,-0.184473,0.04512629170087342
1744,TRUB2,-0.04864522,-0.2329811,-0.18433589,0.02790050662828223
1745,PACSIN3,0.017567582,-0.166654,-0.1842216,0.032486689894801864
1746,ZMYND8,-0.045829,-0.23001094,-0.18418194,0.029481846966165317
1747,LARP4B,0.028026482,-0.1560592,-0.18408568,0.03315804817963681
1748,RBBP7,-0.026767924,-0.21083313,-0.18406521,0.03601274516695523
1749,ABRACL,-0.068325706,-0.25194126,-0.18361557,0.035508797264992134
1750,SPRYD7,0.09366825,-0.08977218,-0.18344043,0.02818050894006468
1751,RPS24,-0.010994111,-0.19436398,-0.18336987,0.06625445929261259
